589:55,scr_text_slash_scr_text_gml_9204_0
589:55,scr_text_slash_scr_text_gml_9205_0
589:55,scr_text_slash_scr_text_gml_9208_0
589:55,obj_readable_room1_slash_Other_10_gml_211_0
589:55,obj_readable_room1_slash_Other_10_gml_435_0
589:55,obj_readable_room1_slash_Other_10_gml_438_0
589:55,obj_readable_room1_slash_Other_10_gml_217_0
589:55,obj_readable_room1_slash_Other_10_gml_226_0
589:55,obj_readable_room1_slash_Other_10_gml_231_0
589:55,obj_readable_room1_slash_Other_10_gml_234_0
589:55,obj_readable_room1_slash_Other_10_gml_480_0_b
590:0,obj_readable_room1_slash_Other_10_gml_354_0
590:0,obj_readable_room1_slash_Other_10_gml_392_0
590:0,obj_readable_room1_slash_Other_10_gml_712_0
590:0,scr_susface_slash_scr_susface_gml_1_0
590:0,obj_readable_room1_slash_Other_10_gml_714_0_b
590:0,obj_readable_room1_slash_Other_10_gml_744_0
590:0,scr_susface_slash_scr_susface_gml_1_0
590:0,obj_readable_room1_slash_Other_10_gml_746_0
590:4,scr_text_slash_scr_text_gml_2194_0
590:4,scr_text_slash_scr_text_gml_2195_0
590:4,scr_text_slash_scr_text_gml_2198_0_b
590:4,scr_text_slash_scr_text_gml_2199_0_b
590:4,scr_text_slash_scr_text_gml_2198_0
590:4,scr_text_slash_scr_text_gml_2199_0
590:4,scr_text_slash_scr_text_gml_2202_0
590:4,scr_text_slash_scr_text_gml_2205_0
590:4,scr_susface_slash_scr_susface_gml_1_0
590:4,obj_readable_room1_slash_Other_10_gml_729_0
590:4,obj_readable_room1_slash_Other_10_gml_730_0
590:4,obj_readable_room1_slash_Other_10_gml_731_0
590:10,obj_readable_room1_slash_Other_10_gml_718_0
590:10,scr_susface_slash_scr_susface_gml_1_0
590:10,obj_readable_room1_slash_Other_10_gml_720_0
590:10,obj_readable_room1_slash_Other_10_gml_735_0
590:12,scr_susface_slash_scr_susface_gml_1_0
590:12,obj_readable_room1_slash_Other_10_gml_750_0
590:12,obj_readable_room1_slash_Other_10_gml_751_0
590:15,scr_susface_slash_scr_susface_gml_1_0
590:19,scr_susface_slash_scr_susface_gml_1_0
590:35,obj_readable_room1_slash_Other_10_gml_120_0
590:39,obj_readable_room1_slash_Other_10_gml_196_0
590:39,obj_readable_room1_slash_Other_10_gml_291_0
590:39,obj_readable_room1_slash_Other_10_gml_292_0
590:39,obj_readable_room1_slash_Other_10_gml_169_0
590:39,obj_readable_room1_slash_Other_10_gml_353_0
590:39,obj_readable_room1_slash_Other_10_gml_354_0_b
590:39,obj_readable_room1_slash_Other_10_gml_253_0
590:39,obj_readable_room1_slash_Other_10_gml_387_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_58_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_66_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_79_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_93_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_112_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_120_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_132_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_144_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_157_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_159_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_188_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_190_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_206_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_214_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_217_0
590:49,obj_ch4_PDC07_slash_Step_0_gml_226_0
591:13,scr_susface_slash_scr_susface_gml_1_0
591:20,scr_susface_slash_scr_susface_gml_1_0
591:39,obj_ch4_PDC08_slash_Step_0_gml_225_0
591:39,obj_ch4_PDC08_slash_Step_0_gml_259_0
591:39,obj_ch4_PDC08_slash_Step_0_gml_260_0
591:39,obj_ch4_PDC08_slash_Step_0_gml_262_0
591:39,obj_ch4_PDC08_slash_Step_0_gml_289_0
591:55,scr_noeface_slash_scr_noeface_gml_1_0
592:12,obj_ch4_PDC08_slash_Step_0_gml_18_0
592:24,obj_ch4_PDC09_slash_Step_0_gml_81_0
